TABLE_SCHEMA,TABLE_NAME,ENGINE,TABLE_COMMENT
schoolschedulingdb,buildings,InnoDB,
schoolschedulingdb,categories,InnoDB,
schoolschedulingdb,class_rooms,InnoDB,
schoolschedulingdb,classes,InnoDB,
schoolschedulingdb,departments,InnoDB,
schoolschedulingdb,faculty,InnoDB,
schoolschedulingdb,faculty_categories,InnoDB,
schoolschedulingdb,faculty_classes,InnoDB,
schoolschedulingdb,faculty_subjects,InnoDB,
schoolschedulingdb,majors,InnoDB,
schoolschedulingdb,staff,InnoDB,
schoolschedulingdb,student_class_status,InnoDB,
schoolschedulingdb,student_schedules,InnoDB,
schoolschedulingdb,students,InnoDB,
schoolschedulingdb,subjects,InnoDB,
schoolschedulingdb,ztblgendermatrix,InnoDB,
schoolschedulingdb,ztbllettergrades,InnoDB,
schoolschedulingdb,ztblmaritalstatusmatrix,InnoDB,
schoolschedulingdb,ztblprofratings,InnoDB,
schoolschedulingdb,ztblsemesterdays,InnoDB,
schoolschedulingdb,ztblsequencenos,InnoDB,
